Sample name,U,S,L,R,P,EB2,EB3,EB4,FunctionalAssay,CellNo.Norm_2,CellNo.Norm_4,CellNo.Norm_6,CellNo.Raw_2,CellNo.Raw_4,CellNo.Raw_6,Prolif_2,Prolif_4,Prolif_6,Apoptosis_2,Apoptosis_4,Apoptosis_6,Morphology,Rex1,Oct4,Dnmt3b,Fgf5,Lefty2,Otx2,Mixl1
E140 P,0,0,0,0,1,-0.036525876,2.763411574,3.943358763,6.670244461,0.71,0.3,0.95,1.06E+07,2.90E+06,8.20E+06,63.1,73.4,75.1,27.47,37.8,17.63,1.086111111,-1.418889825,-1.01449957,0.240008965,1.495183478,-0.490050854,0.100304906,-0.305788392
E140 P+S,0,1,0,0,1,-2.244685096,0.018634174,3.593353771,1.367302849,0.56,0.31,0.71,8.40E+06,2.93E+06,6.07E+06,75.1,66.3,74,14.82,0,8.2,0.658730159,-0.444183845,0.045442971,-2.224317298,2.775050541,0.489542936,2.384878704,-0.444183845
E140 R,0,0,0,1,0,-1.190997225,0.38294387,3.478324711,2.670271356,0.32,1.04,0.61,4.80E+06,1.00E+07,5.27E+06,75,73.1,73.2,20.24,9.17,17.89,0.551152551,-0.535331733,-0.12973393,-0.01449957,0.630405471,0.609754962,0.03562391,-0.595096878
E140 R+P,0,0,0,1,1,1.428142391,3.143393419,7.85333451,12.42487032,0.28,0.5,0.64,4.20E+06,4.80E+06,5.50E+06,70.6,64.6,70.3,42.7,10.35,15,0.546405229,-0.619270551,-0.279283757,-0.75389599,1.889862881,0.435095152,0.719840555,-4.10780329
E140 R+P+S,0,1,0,1,1,-2.943416472,-1.621488377,2.233274539,-2.33163031,0.24,0.37,0.36,3.53E+06,3.53E+06,3.07E+06,66.2,63.1,63.6,28.75,17.8,14.11,0.558848266,-0.415037499,-0.045431429,-1.556393349,-2.652901329,1.175045486,1.815165514,-4.717856771
E140 R+S,0,1,0,1,0,-2.64385619,-0.236163541,3.643278996,0.763259265,0.23,1.81,0.34,3.50E+06,1.74E+07,2.93E+06,72.3,72.2,67,33.2,0,16.43,0.466853408,-0.375197235,-0.53951953,-1.639354798,1.344828497,0.449957484,1.794935663,-4.53951953
E140 S,0,1,0,0,0,-0.256700472,2.508428653,4.213347282,6.465075463,1.28,0.52,0.91,1.92E+07,5.00E+06,7.80E+06,73.9,74.2,74.7,13.27,26.6,13.1,0.520297391,-1.621488377,-1.560642822,-2.145605322,1.180147861,0.059355278,0.730313886,-1.446148032
E140 U,1,0,0,0,0,,,,,1.03,1.02,0.81,1.54E+07,9.80E+06,7.00E+06,31.7,75.8,76.3,11.29,17,21.69,1.252472089,-1.064917477,-0.785875195,1.22527493,3.495055528,0.125651102,1.859969548,0.275007047
E140 U+P,1,0,0,0,1,-0.171368418,1.973427598,4.948320504,6.750379684,0.41,0.28,1.14,6.20E+06,2.70E+06,9.80E+06,75.5,71.8,74.1,21.8,46.1,20.81,0.8,,,,,,,
E140 U+P+S,1,1,0,0,1,-1.727379545,2.093222111,5.718334224,6.08417679,0.28,0.66,0.34,4.27E+06,6.33E+06,2.93E+06,75.8,65.9,64.6,13.51,24.71,37.95,0.554482018,-0.024736678,-0.054392297,-1.717856771,1.399991351,1.664937877,3.12498977,-1.573466862
E140 U+R,1,0,0,1,0,-0.870387262,2.118359726,4.728355919,5.976328383,0.46,0.42,0.51,6.90E+06,4.00E+06,4.40E+06,71,73.1,66.3,19.03,28.32,27.22,0.352326685,-0.979942348,-0.490050854,-0.354759487,1.144699025,0.919912089,1.804879608,-1.76611194
E140 U+R+P,1,0,0,1,1,,,,,0.24,0.54,0.23,3.55E+06,5.20E+06,2.00E+06,69.6,66.9,62.6,22.65,17.75,40,0.501388889,-0.66428809,-0.084670324,-0.634867407,0.984771612,0.675364313,2.025028794,-0.375197235
E140 U+R+P+S,1,1,0,1,1,,,,,0.34,0.22,0.24,5.10E+06,2.13E+06,2.06E+06,63.1,60.1,56.9,15.7,11.97,27.65,0.468853695,,,,,,,
E140 U+R+S,1,1,0,1,0,0.018634174,2.27828218,6.673330279,8.970246633,0.3,0.41,0.4,4.53E+06,3.90E+06,3.40E+06,68,64.2,56.3,17.6,20.93,25.45,0.476551227,-0.859875776,-0.59946207,-2.152003093,-0.270555993,1.044743821,2.165107985,-5.64385619
E140 U+S,1,1,0,0,0,-0.407363571,2.248231207,5.493327098,7.334194734,0.72,0.48,0.55,1.08E+07,4.60E+06,4.73E+06,71.9,67.4,68,14.17,9.67,12.25,0.526249883,-0.490050854,-0.560642822,-2.10780329,3.099968417,0.87026607,2.699995744,-5.878321443
E142 330 LIF+Pro+DMSO,0,0,0,0,0,,,,,1,1,1,5.30E+06,1.68E+07,6.60E+06,75.3,76.8,76,22.89,37.6,52.6,1.330442584,-0.436758026,0.207271826,2.387539181,4.487506126,-0.26795028,2.252606174,0.610218225
E142 L,0,0,1,0,0,,,,,0.92,0.39,1.29,4.90E+06,6.60E+06,8.50E+06,74.8,73.1,75.9,67.2,25.78,44.9,1.424541063,-0.380821784,0.334568276,2.120020096,3.164947141,,0.77483976,1.079975377
E142 L+P,0,0,1,0,1,3.382528924,5.627490111,10.09249949,19.10251853,0.5,0.15,0.71,2.65E+06,2.50E+06,4.67E+06,67.8,72.9,72.7,73.6,25.53,81.2,1.291938998,-0.334607229,0.580145484,2.290129465,3.829951012,0.284514133,1.569977093,1.044743821
E142 L+P+S,0,1,1,0,1,0.35952117,7.104997045,10.11499942,17.57951764,0.5,0.18,0.76,2.67E+06,3.00E+06,5.00E+06,69.5,66,65.9,59.1,47.9,28.47,0.503148148,-1.086201035,-0.00433459,-0.816037165,3.169925001,0.9053509,3.52994585,-1.708396442
E142 L+R,0,0,1,1,0,,,,,0.13,,,6.67E+05,,,58,,,62.3,,,,,,,,,,
E142 L+R+P,0,0,1,1,1,,,,,0.12,,,6.22E+05,,,54.2,,,64.3,,,,,,,,,,
E142 L+R+P+S,0,1,1,1,1,,,,,0.07,,,3.56E+05,,,48.4,,,68.4,,,,,,,,,,
E142 L+R+S,0,1,1,1,0,,,,,0.08,,,4.00E+05,,,46.1,,,56.1,,,,,,,,,,
E142 L+S,0,1,1,0,0,-1.461958547,2.215057281,4.740010073,5.493108807,0.92,0.24,1,4.90E+06,4.10E+06,6.60E+06,69.6,71.2,64.5,41.2,27.27,26.5,0.589275362,-0.724992953,0.404903122,-0.606034724,1.974896364,0.864730922,2.689970025,-0.564904848
E142 L+U,1,0,1,0,0,0.942608336,4.492494152,8.582499553,14.01760204,0.39,0.56,0.6,2.05E+06,9.40E+06,3.93E+06,66.6,70.9,63.1,36.1,42.3,38.9,1.140350877,,,,,,,
E142 L+U+P,1,0,1,0,1,0.959770155,5.960001932,8.82000021,15.7397723,0.38,0.19,0.49,2.00E+06,3.27E+06,3.25E+06,70.3,71,67.8,57.2,49,52.1,0.701144165,-1.751465164,-0.50021788,1.855192408,4.515005916,-1.120294234,3.129942384,-1.204233052
E142 L+U+P+S,1,1,1,0,1,,,,,0.34,0.03,,1.80E+06,4.44E+05,,58.4,59.7,,56.9,15.37,,,-0.380821784,0.169925001,-1.960159735,2.129942384,1.324810603,3.445064522,-0.179514657
E142 L+U+R,1,0,1,1,0,,,,,0.11,,,5.78E+05,,,38.5,,,65.6,,,,,,,,,,
E142 L+U+R+P,1,0,1,1,1,,,,,0.42,0,,2.20E+06,6.67E+04,,31.5,37.4,,65.1,53.3,,,,,,,,,
E142 L+U+R+P+S,1,1,1,1,1,,,,,0.16,,,8.50E+05,,,57.2,,,55.4,,,,-0.184424571,-0.790858602,-1.164884385,-2.54793177,-0.15521265,2.260025656,-2.217591435
E142 L+U+R+S,1,1,1,1,0,,,,,,,,,,,33.8,,,,,,,,,,,,,
E142 L+U+S,1,1,1,0,0,-0.395928676,4.394994229,7.410001831,11.40906738,0.39,0.15,0.76,2.07E+06,2.53E+06,5.00E+06,63.8,65.1,61.5,64.4,50.8,29.33,0.37105806,-1.418889825,-0.545824107,-1.110915901,1.255198566,0.979659552,3.63505783,-0.894321922
E142 P,0,0,0,0,1,1.272620455,4.807509488,8.932501195,15.01263114,0.67,0.33,1.08,3.53E+06,5.47E+06,7.13E+06,76.2,74,74.3,53.8,22.7,65.6,1.19094299,-0.334607229,0.425459305,1.420078116,3.120020096,0.63505783,1.605020153,0.449957484
E142 P+S,0,1,0,0,1,0.504874589,5.234999403,7.004995689,12.74486968,0.85,0.24,1.21,4.50E+06,4.00E+06,8.00E+06,70.7,73.4,64.8,37.3,50.4,14.97,0.426736833,-1.064917477,-0.349235441,-1.556393349,3.685043089,1.100304906,3.250052025,-1.564904848
E142 R,0,0,0,1,0,,,,,0.47,0.38,1.68,2.47E+06,6.40E+06,1.11E+07,74.2,76.4,71.1,50.9,21.83,49,0.712081129,-0.434402824,0.12035194,0.964953053,0.504874589,0.504874589,0.630405471,-0.325539348
E142 R+P,0,0,0,1,1,-0.234465254,4.064969052,8.969999447,12.80050325,0.75,0.12,0.76,4.00E+06,2.00E+06,5.00E+06,69.9,71.6,71.2,59.1,67.6,,0.602319902,-1.174621396,-0.089267338,-1.810966176,1.71501475,1.005040617,3.314986485,-1.450084446
E142 R+P+S,0,1,0,1,1,,,,,0.5,0.05,,2.67E+06,8.67E+05,,66.6,64.3,62.7,77.4,28.92,24.64,0.442608696,-1.506352666,-0.724992953,-1.621488377,2.280065486,-0.104697379,2.964953053,-0.954557029
E142 R+S,0,1,0,1,0,,,,,0.72,0.21,1.15,3.80E+06,3.47E+06,7.60E+06,68.6,72.2,69.4,47.9,72.8,18.84,0.494761905,-1.311148256,-0.399730246,-0.694321257,1.985136067,1.21971064,2.430017587,-1.351074441
E142 S,0,1,0,0,0,0.532067552,5.367510855,,,1.26,0.38,1.52,6.70E+06,6.40E+06,1.00E+07,74.2,75.4,74.2,45.1,20.7,23.7,0.568530021,-0.270555993,0.295135249,-0.991369695,2.399991351,1.029982866,1.954940735,0.925239905
E142 U,1,0,0,0,0,0.712815854,6.627504702,10.42250003,17.76282059,0.57,0.67,1.26,3.00E+06,1.12E+07,8.30E+06,73.6,71.6,72.6,37.7,21.09,44,0.653881813,-1.098505545,-0.524915117,1.149909668,3.240008965,0.079975377,1.919912089,0.475084883
E142 U+P,1,0,0,0,1,0.355016264,6.275007047,9.275000061,15.90502337,0.34,0.29,0.38,1.80E+06,4.90E+06,2.53E+06,71.9,72.9,67.6,51.9,37.1,51.1,0.641790124,,,,,,,
E142 U+P+S,1,1,0,0,1,0.094911647,4.009974139,9.375000322,13.47988611,0.57,0.12,0.53,3.00E+06,2.07E+06,3.50E+06,67.3,44.4,65.3,54.7,13.04,33.8,0.258095238,-1.703689439,-1.058893689,-2.244685096,2.410069692,-0.080087911,3.224966365,-2.272297327
E142 U+R,1,0,0,1,0,-0.244685096,5.054978678,10.09999997,14.91029355,0.5,0.23,0.43,2.67E+06,3.80E+06,2.87E+06,67.6,68.1,62.5,45.1,20.7,33.2,0.278238607,-1.862496476,-0.816037165,-0.020340448,1.409798228,0.200378798,2.22002033,-1.395928676
E142 U+R+P,1,0,0,1,1,,,,,0.47,0.05,,2.47E+06,8.00E+05,,69.7,62.4,66,70.9,19.25,24.56,0.320445041,-2.265344567,-1.181149439,-1.703689439,2.614945367,-0.810966176,2.275007047,-1.514573173
E142 U+R+P+S,1,1,0,1,1,,,,,0.36,0.01,,1.93E+06,2.00E+05,,58.5,62.1,,58.1,21.23,,,-0.179514657,0.175045486,-1.473931188,2.674912553,1.664937877,3.110029093,-1.098505545
E142 U+R+S,1,1,0,1,0,1.199750857,7.044995117,9.005001305,17.24974728,0.39,0.1,,2.07E+06,1.60E+06,,59.6,62.1,62,48.8,22.01,13.38,0.499382411,,,,,,,
E142 U+S,1,1,0,0,0,-0.260151897,4.605020153,7.860000598,12.20486885,0.52,0.23,0.91,2.73E+06,3.80E+06,6.00E+06,,69.1,68.8,42.2,29,24.24,0.416120429,,,,,,,
E152 L+U+P+S,1,1,1,0,1,2.006836577,7.896665412,11.16666649,21.07016848,0.871794872,0.18627451,0.336956522,,,,,,,,,,0.433211233,-0.821126042,0.03562391,-0.577766999,1.693319679,-3.251538767,-0.940644722,0.82700601
E152 U+R+P,1,0,0,1,1,-1.518701058,6.101671084,9.881666149,14.46463618,0.974358974,0.156862745,0.25,,,,,,,,,,0.22,,,,,,,
E152 U+R+P+S,1,1,0,1,1,,,,,0.58974359,0.156862745,0.913043478,,,,,,,,,,0.2,-0.780908942,0.03562391,-1.612637459,1.743299528,-0.639354798,-1.03209363,0.257010618
E154 L+U+P,1,0,1,0,1,2.103329777,5.728328707,8.873333368,16.70499185,0.867052023,0.819112628,0.628378378,,,,,,,,,,,,,,,,,
E154 L+U+P+S,1,1,1,0,1,,,,,0.809248555,0.631399317,0.258783784,,,,,,,,,,,,,,,,,
E154 U+R+P+S,1,1,0,1,1,2.22342255,5.653346693,10.823333,18.70010224,0.49132948,0.280064244,0.370531822,,,,,,,,,,,-0.619270551,-0.045431429,-1.329159664,1.649845352,-0.128156351,-0.865121946,0.343692069
