ExpCode,Condition,n colonies [ES phenotye],n colonies [partial differentiation phenotye],n colonies [full differentiation phenotye],Total number of colonies, % [ES phenotye],% [partial differentiation phenotye],% [full differentiation phenotye],Morphology Value [((C + D*2 + E*3)/F)-1],Averaged values,Corresponding Images,Randomization code
E116,U+R+P+S,20,13,0,33,60.6,39.4,0.0,0.3939,0.5192,E116_D6_4i_UO+Rapa+PF+SU_10x_1.jpg,0000420_82.jpg
E116,U+R+P+S,17,12,0,29,58.6,41.4,0.0,0.4138,,E116_D6_4i_UO+Rapa+PF+SU_10x_2.jpg,0000393_83.jpg
E116,U+R+P+S,5,15,0,20,25.0,75.0,0.0,0.7500,,E116_D6_4i_UO+Rapa+PF+SU_10x_3.jpg,0000310_84.jpg
E133,U+R+P+S,4,17,1,22,18.2,77.3,4.5,0.8636,0.7031,E133_D3P37_D6_4i_U+R+P+S_10x_1.tif,000022_145.tif
E133,U+R+P+S,10,20,0,30,33.3,66.7,0.0,0.6667,,E133_D3P37_D6_4i_U+R+P+S_10x_2.tif,000413_146.tif
E133,U+R+P+S,8,11,0,19,42.1,57.9,0.0,0.5789,,E133_D3P37_D6_4i_U+R+P+S_10x_3.tif,000188_147.tif
E136,U+R+P+S,5,20,0,25,20.0,80.0,0.0,0.8000,0.8158,E136_D6_4i_U+R+P+S_10x_1.tif,000067_229.tif
E136,U+R+P+S,3,24,0,27,11.1,88.9,0.0,0.8889,,E136_D6_4i_U+R+P+S_10x_2.tif,000093_230.tif
E136,U+R+P+S,7,22,0,29,24.1,75.9,0.0,0.7586,,E136_D6_4i_U+R+P+S_10x_3.tif,000253_231.tif
E140,U+R+P+S,19,15,0,34,55.9,44.1,0.0,0.4412,0.4689,E140_D6_4i_U+R+P+S_19NOV17_10x_1.tif,000349_325.tif
E140,U+R+P+S,10,16,0,26,38.5,61.5,0.0,0.6154,,E140_D6_4i_U+R+P+S_19NOV17_10x_2.tif,000304_326.tif
E140,U+R+P+S,13,7,0,20,65.0,35.0,0.0,0.3500,,E140_D6_4i_U+R+P+S_19NOV17_10x_3.tif,000008_327.tif
E116,U+R+S,21,7,0,28,75.0,25.0,0.0,0.2500,0.2455,E116_D6_3i_UO+Rapa+SU_10x_1.jpg,0000059_76.jpg
E116,U+R+S,18,3,0,21,85.7,14.3,0.0,0.1429,,E116_D6_3i_UO+Rapa+SU_10x_2.jpg,0000189_77.jpg
E116,U+R+S,21,11,0,32,65.6,34.4,0.0,0.3438,,E116_D6_3i_UO+Rapa+SU_10x_3.jpg,0000404_78.jpg
E133,U+R+S,7,4,0,11,63.6,36.4,0.0,0.3636,0.3904,E133_D3P37_D6_3i_U+R+S_10x_1.tif,000388_139.tif
E133,U+R+S,5,5,0,10,50.0,50.0,0.0,0.5000,,E133_D3P37_D6_3i_U+R+S_10x_2.tif,000201_140.tif
E133,U+R+S,9,4,0,13,69.2,30.8,0.0,0.3077,,E133_D3P37_D6_3i_U+R+S_10x_3.tif,000010_141.tif
E136,U+R+S,9,18,0,27,33.3,66.7,0.0,0.6667,0.5900,E136_D6_3i_U+R+S_10x_1.tif,000180_223.tif
E136,U+R+S,14,15,0,29,48.3,51.7,0.0,0.5172,,E136_D6_3i_U+R+S_10x_2.tif,000332_224.tif
E136,U+R+S,12,17,0,29,41.4,58.6,0.0,0.5862,,E136_D6_3i_U+R+S_10x_3.tif,000010_225.tif
E140,U+R+S,13,15,0,28,46.4,53.6,0.0,0.5357,0.4766,E140_D6_3i_U+R+S_19NOV17_10x_1.tif,000094_319.tif
E140,U+R+S,20,13,0,33,60.6,39.4,0.0,0.3939,,E140_D6_3i_U+R+S_19NOV17_10x_2.tif,000029_320.tif
E140,U+R+S,17,17,0,34,50.0,50.0,0.0,0.5000,,E140_D6_3i_U+R+S_19NOV17_10x_3.tif,000145_321.tif
E142,U+R+S,11,21,0,32,34.4,65.6,0.0,0.6563,0.4994,E142_D6_3i_U+R+S_30JAN18_10x_1.tif,000121_412.tif
E142,U+R+S,14,8,0,22,63.6,36.4,0.0,0.3636,,E142_D6_3i_U+R+S_30JAN18_10x_2.tif,000259_413.tif
E142,U+R+S,12,11,0,23,52.2,47.8,0.0,0.4783,,E142_D6_3i_U+R+S_30JAN18_10x_3.tif,000231_414.tif
E116,U+S,16,8,0,24,66.7,33.3,0.0,0.3333,0.3234,E116_D6_2i_UO+SU_10x_1.jpg,0000183_46.jpg
